epoch,dense_1_loss,dense_1_perplexity,dense_loss,dense_perplexity,loss,val_dense_1_loss,val_dense_1_perplexity,val_dense_loss,val_dense_perplexity,val_loss
0,3.405726194381714,30.136173248291016,3.433258056640625,30.977405548095703,6.838978290557861,2.662651777267456,14.334250450134277,2.663362503051758,14.344441413879395,5.326013565063477
1,2.490583896636963,12.068321228027344,2.4644179344177246,11.756637573242188,4.955005645751953,2.1502418518066406,8.586933135986328,2.1177613735198975,8.312507629394531,4.268003940582275
2,2.182138204574585,8.865241050720215,2.142615795135498,8.521699905395508,4.3247551918029785,1.9790910482406616,7.236163139343262,1.9418646097183228,6.971738815307617,3.920955181121826
3,2.048611640930176,7.7571258544921875,2.014451503753662,7.496612071990967,4.063065052032471,1.8866852521896362,6.597463607788086,1.8575079441070557,6.407748222351074,3.7441933155059814
4,1.9746185541152954,7.203871250152588,1.9529284238815308,7.049300670623779,3.9275431632995605,1.844370722770691,6.3241190910339355,1.8123090267181396,6.124573230743408,3.656682014465332
5,1.9253993034362793,6.85788631439209,1.8981406688690186,6.6734747886657715,3.823540687561035,1.8102707862854004,6.112102508544922,1.7804384231567383,5.9324564933776855,3.5907094478607178
6,1.8889942169189453,6.612714767456055,1.8633533716201782,6.445314407348633,3.7523458003997803,1.778836727142334,5.922962188720703,1.7559795379638672,5.789115905761719,3.534815788269043
7,1.8615565299987793,6.433743476867676,1.8328704833984375,6.251806735992432,3.694427251815796,1.760535478591919,5.815552234649658,1.730439305305481,5.64313268661499,3.490973949432373
8,1.8374658823013306,6.280601978302002,1.8096539974212646,6.108333587646484,3.6471216678619385,1.743288516998291,5.7161102294921875,1.7164567708969116,5.5647759437561035,3.4597463607788086
9,1.8174103498458862,6.155896186828613,1.7903999090194702,5.991847991943359,3.6078107357025146,1.7296546697616577,5.638706684112549,1.702225923538208,5.486145496368408,3.4318795204162598
10,1.8010480403900146,6.055991172790527,1.7728281021118164,5.887480735778809,3.5738754272460938,1.717358112335205,5.569793701171875,1.6946085691452026,5.444514274597168,3.4119668006896973
11,1.7851210832595825,5.960301876068115,1.7582252025604248,5.802131175994873,3.5433435440063477,1.7035515308380127,5.493422508239746,1.6798826456069946,5.364926338195801,3.3834333419799805
12,1.7722336053848267,5.883981227874756,1.745551347732544,5.72905969619751,3.51778507232666,1.6957321166992188,5.450634956359863,1.6728119850158691,5.327126502990723,3.368544816970825
13,1.7602758407592773,5.814042568206787,1.732710361480713,5.6559624671936035,3.4929821491241455,1.6884982585906982,5.411348342895508,1.6716862916946411,5.321133136749268,3.360184669494629
14,1.7497919797897339,5.753406047821045,1.723248839378357,5.602701187133789,3.4730443954467773,1.6796562671661377,5.363711833953857,1.6633414030075073,5.276913642883301,3.3429973125457764
15,1.7406060695648193,5.7007975578308105,1.7127413749694824,5.544139385223389,3.453346014022827,1.677459955215454,5.351944446563721,1.6569573879241943,5.243333339691162,3.334416627883911
16,1.731038212776184,5.64651346206665,1.7031532526016235,5.491235256195068,3.434190273284912,1.6727349758148193,5.326716423034668,1.6526857614517212,5.220983028411865,3.325420379638672
17,1.7233816385269165,5.603445053100586,1.6954656839370728,5.449182987213135,3.418853282928467,1.6683653593063354,5.303491115570068,1.6506402492523193,5.2103142738342285,3.3190064430236816
18,1.7156039476394653,5.560032367706299,1.6869655847549438,5.4030609130859375,3.40256667137146,1.6685751676559448,5.3046040534973145,1.6439143419265747,5.175387859344482,3.3124899864196777
19,1.7094779014587402,5.526076793670654,1.6798810958862305,5.3649187088012695,3.3893580436706543,1.6630520820617676,5.275387287139893,1.6374491453170776,5.142036437988281,3.3005008697509766
20,1.7021507024765015,5.485732555389404,1.6723116636276245,5.324461936950684,3.3744616508483887,1.6587833166122437,5.252915859222412,1.6355438232421875,5.1322479248046875,3.294328212738037
21,1.6957100629806519,5.450514793395996,1.6657942533493042,5.289873123168945,3.3615031242370605,1.6543395519256592,5.2296247482299805,1.6400514841079712,5.155435085296631,3.294391632080078
22,1.6902296543121338,5.420725345611572,1.6632397174835205,5.2763776779174805,3.353468656539917,1.6518117189407349,5.216422080993652,1.6322075128555298,5.115154266357422,3.2840187549591064
23,1.684615135192871,5.390376091003418,1.6540051698684692,5.22787618637085,3.338621139526367,1.6557806730270386,5.237166881561279,1.6306397914886475,5.107141494750977,3.2864201068878174
24,1.6794114112854004,5.362399101257324,1.648966908454895,5.201603412628174,3.328380823135376,1.6517399549484253,5.216047763824463,1.6345874071121216,5.1273417472839355,3.286327362060547
25,1.6743701696395874,5.3354339599609375,1.6432305574417114,5.171850681304932,3.3176045417785645,1.6508530378341675,5.211422920227051,1.6286966800689697,5.097227096557617,3.2795512676239014
26,1.6715410947799683,5.3203606605529785,1.6375700235366821,5.14265775680542,3.309110164642334,1.6461764574050903,5.187108993530273,1.6299242973327637,5.103488445281982,3.276099681854248
