epoch,dense_1_loss,dense_1_perplexity,dense_loss,dense_perplexity,loss,val_dense_1_loss,val_dense_1_perplexity,val_dense_loss,val_dense_perplexity,val_loss
0,3.1181230545043945,22.603912353515625,2.925318717956543,18.640167236328125,6.0434441566467285,2.572279930114746,13.095647811889648,2.4149324893951416,11.189014434814453,4.987213134765625
1,2.2587220668792725,9.570850372314453,2.114888906478882,8.288664817810059,4.37360954284668,2.1732566356658936,8.786852836608887,2.0338804721832275,7.643690586090088,4.207136631011963
2,1.9480280876159668,7.014841556549072,1.8232386112213135,6.1918792724609375,3.771268367767334,1.9346739053726196,6.921787261962891,1.8200969696044922,6.172456741333008,3.754770278930664
3,1.7656654119491577,5.845460414886475,1.6578670740127563,5.248105049133301,3.423530340194702,1.8046770095825195,6.07800817489624,1.6958985328674316,5.451541900634766,3.5005757808685303
4,1.659645915031433,5.257449150085449,1.5677062273025513,4.79563570022583,3.2273495197296143,1.7225996255874634,5.599064826965332,1.6313610076904297,5.110826015472412,3.353961229324341
5,1.5884425640106201,4.896117687225342,1.5129990577697754,4.540327072143555,3.1014416217803955,1.6600755453109741,5.259707927703857,1.5860531330108643,4.884432792663574,3.2461283206939697
6,1.5370372533798218,4.650790691375732,1.4699569940567017,4.349048137664795,3.0069925785064697,1.614333987236023,5.024540424346924,1.5435954332351685,4.681391716003418,3.1579291820526123
7,1.4997062683105469,4.480372905731201,1.4379905462265015,4.212223052978516,2.937696933746338,1.5799190998077393,4.854563236236572,1.5207664966583252,4.57573127746582,3.1006853580474854
8,1.4688193798065186,4.3441033363342285,1.4124642610549927,4.1060614585876465,2.881281852722168,1.550846815109253,4.715461730957031,1.4963051080703735,4.465160369873047,3.047151803970337
9,1.4453308582305908,4.243256092071533,1.3912863731384277,4.020018100738525,2.8366167545318604,1.5282448530197144,4.61007833480835,1.477635383605957,4.382570266723633,3.0058798789978027
10,1.425036072731018,4.158008098602295,1.374023675918579,3.9512178897857666,2.799060583114624,1.5163252353668213,4.555454254150391,1.4637904167175293,4.322311878204346,2.9801154136657715
11,1.4091838598251343,4.09261417388916,1.3593552112579346,3.893681526184082,2.768537998199463,1.5027750730514526,4.494143486022949,1.4563815593719482,4.290406703948975,2.9591574668884277
12,1.4072265625,4.084611415863037,1.34614896774292,3.8425991535186768,2.7533745765686035,1.4940215349197388,4.454975605010986,1.4460217952728271,4.246188640594482,2.9400429725646973
13,1.3876464366912842,4.0054121017456055,1.335800051689148,3.803037166595459,2.723444700241089,1.4832763671875,4.407362461090088,1.4391108751296997,4.216945171356201,2.92238712310791
14,1.3733068704605103,3.948385715484619,1.3249987363815308,3.7621805667877197,2.69830584526062,1.4744709730148315,4.3687238693237305,1.4402889013290405,4.221915245056152,2.914760112762451
15,1.3638540506362915,3.911238193511963,1.315832495689392,3.7278530597686768,2.6796863079071045,1.4681098461151123,4.34102201461792,1.4305344820022583,4.180932998657227,2.898643732070923
16,1.3561677932739258,3.881290912628174,1.3083487749099731,3.700058937072754,2.6645166873931885,1.4630755186080933,4.319222927093506,1.423857569694519,4.153110504150391,2.886932611465454
17,1.3474771976470947,3.8477060794830322,1.2996680736541748,3.668079137802124,2.647146701812744,1.4631644487380981,4.319607257843018,1.420165777206421,4.137805938720703,2.8833298683166504
18,1.3415684700012207,3.825038433074951,1.2922080755233765,3.6408169269561768,2.6337766647338867,1.4533475637435913,4.277409553527832,1.4218616485595703,4.144829273223877,2.8752100467681885
19,1.3347759246826172,3.7991445064544678,1.2855892181396484,3.616798162460327,2.620365858078003,1.4554651975631714,4.286477088928223,1.4164185523986816,4.122330188751221,2.871882677078247
20,1.3275411128997803,3.7717578411102295,1.279280185699463,3.5940515995025635,2.6068217754364014,1.4481514692306519,4.255241394042969,1.4148658514022827,4.115934371948242,2.8630170822143555
21,1.322278380393982,3.751960039138794,1.2730412483215332,3.5716984272003174,2.595320701599121,1.4468601942062378,4.24975061416626,1.417834758758545,4.128171443939209,2.864694356918335
22,1.3170942068099976,3.7325594425201416,1.2671102285385132,3.550577163696289,2.5842056274414062,1.4590166807174683,4.301727771759033,1.4096653461456299,4.094584941864014,2.8686821460723877
23,1.3124048709869385,3.715097188949585,1.261214017868042,3.5297038555145264,2.573617935180664,1.4437934160232544,4.236737251281738,1.4158308506011963,4.119907855987549,2.8596243858337402
24,1.3067208528518677,3.694040536880493,1.2565327882766724,3.5132193565368652,2.5632526874542236,1.443909764289856,4.23723030090332,1.4128293991088867,4.107561111450195,2.856738805770874
25,1.3222770690917969,3.751955032348633,1.250064492225647,3.490568161010742,2.57234263420105,1.4411431550979614,4.225523471832275,1.4108961820602417,4.09962797164917,2.8520395755767822
26,1.2988479137420654,3.665071725845337,1.2442864179611206,3.4704575538635254,2.54313325881958,1.4397720098495483,4.219733715057373,1.4112451076507568,4.101058483123779,2.8510169982910156
27,1.2933728694915771,3.6450603008270264,1.2402597665786743,3.4565112590789795,2.533632516860962,1.442495346069336,4.231241226196289,1.4146028757095337,4.114851951599121,2.8570988178253174
28,1.289019227027893,3.629225254058838,1.2389174699783325,3.4518744945526123,2.527935743331909,1.441381812095642,4.226531982421875,1.4095677137374878,4.094184875488281,2.850950002670288
29,1.2895524501800537,3.6311609745025635,1.2304502725601196,3.4227705001831055,2.520003080368042,1.6146653890609741,5.026206016540527,1.4124704599380493,4.106086730957031,3.0271363258361816
30,1.3185969591140747,3.738172769546509,1.226778268814087,3.410224676132202,2.5453743934631348,1.443463921546936,4.235341548919678,1.4113667011260986,4.10155725479126,2.854830026626587
