epoch,dense_1_loss,dense_1_perplexity,dense_loss,dense_perplexity,loss,val_dense_1_loss,val_dense_1_perplexity,val_dense_loss,val_dense_perplexity,val_loss
0,2.5214967727661133,12.447214126586914,2.553790330886841,12.85573959350586,5.0752854347229,1.9235501289367676,6.845216751098633,1.918868064880371,6.813241958618164,3.842416524887085
1,1.707466959953308,5.514974117279053,1.697719693183899,5.461479187011719,3.40518856048584,1.6484724283218384,5.199031829833984,1.6412004232406616,5.161362171173096,3.2896742820739746
2,1.5359634160995483,4.645799160003662,1.519667148590088,4.570703506469727,3.055629014968872,1.5478802919387817,4.701493740081787,1.5409026145935059,4.668802261352539,3.0887820720672607
3,1.4664024114608765,4.333616256713867,1.4475053548812866,4.252492904663086,2.9139058589935303,1.4979196786880493,4.472375392913818,1.4843833446502686,4.412243843078613,2.9823038578033447
4,1.4320262670516968,4.1871747970581055,1.408100962638855,4.088184356689453,2.840127944946289,1.471098780632019,4.3540167808532715,1.455318808555603,4.285849571228027,2.926419258117676
5,1.4032363891601562,4.068345069885254,1.382789969444275,3.98600697517395,2.786024332046509,1.4544540643692017,4.282145023345947,1.4341683387756348,4.19615364074707,2.8886218070983887
6,1.3854377269744873,3.996574878692627,1.3643075227737427,3.9130122661590576,2.7497446537017822,1.4383418560028076,4.213703155517578,1.416383981704712,4.12218713760376,2.8547255992889404
7,1.3716905117034912,3.9420089721679688,1.3495228290557861,3.8555853366851807,2.7212142944335938,1.425951600074768,4.161816120147705,1.4050699472427368,4.075811862945557,2.831023693084717
8,1.3599040508270264,3.8958194255828857,1.3371553421020508,3.808194875717163,2.6970596313476562,1.4183292388916016,4.130214214324951,1.3959357738494873,4.03875207901001,2.8142664432525635
9,1.3506594896316528,3.8599703311920166,1.3274365663528442,3.7713634967803955,2.678093671798706,1.4099746942520142,4.095851898193359,1.3856490850448608,3.997419595718384,2.795623302459717
10,1.3442121744155884,3.8351638317108154,1.3201690912246704,3.7440543174743652,2.6643779277801514,1.4055124521255493,4.077615737915039,1.3825280666351318,3.9849631786346436,2.788038730621338
11,1.3360505104064941,3.803989887237549,1.312544822692871,3.7156174182891846,2.648597240447998,1.3997845649719238,4.05432653427124,1.3748894929885864,3.954639434814453,2.7746734619140625
12,1.3295127153396606,3.7792015075683594,1.304476261138916,3.685758113861084,2.633993148803711,1.4013179540634155,4.060547828674316,1.371302604675293,3.9404799938201904,2.7726194858551025
13,1.3250230550765991,3.7622721195220947,1.2989091873168945,3.6652960777282715,2.623931407928467,1.3949739933013916,4.03486967086792,1.3708784580230713,3.9388091564178467,2.765852928161621
14,1.3191384077072144,3.7401974201202393,1.293516993522644,3.645585536956787,2.6126532554626465,1.3941706418991089,4.03162956237793,1.3619639873504639,3.903852701187134,2.7561352252960205
15,1.3144677877426147,3.722769021987915,1.2890609502792358,3.6293764114379883,2.603532075881958,1.3855024576187134,3.9968338012695312,1.3593051433563232,3.893486976623535,2.7448067665100098
16,1.3100039958953857,3.706188440322876,1.285170555114746,3.6152846813201904,2.5951762199401855,1.3813092708587646,3.980109214782715,1.3588829040527344,3.891843318939209,2.740192174911499
17,1.306806206703186,3.6943559646606445,1.280339002609253,3.5978591442108154,2.5871474742889404,1.3797245025634766,3.973806619644165,1.3541545867919922,3.8734846115112305,2.7338778972625732
18,1.3028048276901245,3.67960262298584,1.2781840562820435,3.5901143550872803,2.580988883972168,1.379630208015442,3.9734320640563965,1.3556760549545288,3.879382848739624,2.7353076934814453
19,1.2998870611190796,3.668882369995117,1.2731915712356567,3.5722358226776123,2.5730807781219482,1.3763236999511719,3.960315704345703,1.3539507389068604,3.872695207595825,2.7302732467651367
20,1.2965781688690186,3.6567623615264893,1.269963264465332,3.5607218742370605,2.566542625427246,1.3748258352279663,3.954387903213501,1.3536502122879028,3.8715314865112305,2.72847843170166
21,1.2941964864730835,3.6480634212493896,1.2696810960769653,3.5597171783447266,2.5638787746429443,1.376128077507019,3.9595417976379395,1.349542260169983,3.8556602001190186,2.725670576095581
22,1.2909815311431885,3.6363539695739746,1.2640656232833862,3.5397837162017822,2.555049419403076,1.3729846477508545,3.9471139907836914,1.3524078130722046,3.866724729537964,2.725390672683716
23,1.2880672216415405,3.625771999359131,1.2618215084075928,3.531848907470703,2.549889326095581,1.3732898235321045,3.9483184814453125,1.348538875579834,3.8517935276031494,2.7218286991119385
24,1.2853435277938843,3.6159098148345947,1.2590025663375854,3.521906614303589,2.5443408489227295,1.3728002309799194,3.9463860988616943,1.3491995334625244,3.8543388843536377,2.7219996452331543
25,1.2833999395370483,3.608888626098633,1.2564983367919922,3.5130982398986816,2.5399012565612793,1.3691387176513672,3.931962490081787,1.3472967147827148,3.8470118045806885,2.716435670852661
26,1.2811354398727417,3.6007258892059326,1.2540925741195679,3.5046567916870117,2.535226345062256,1.3693681955337524,3.9328651428222656,1.3474653959274292,3.847661018371582,2.716831922531128
27,1.278699517250061,3.591965436935425,1.2517797946929932,3.496560573577881,2.530479907989502,1.3701322078704834,3.935870885848999,1.345754861831665,3.8410847187042236,2.7158877849578857
28,1.2766932249069214,3.584765911102295,1.2497018575668335,3.489302396774292,2.526395559310913,1.368517518043518,3.929520845413208,1.3438186645507812,3.8336548805236816,2.7123358249664307
29,1.2748303413391113,3.578094244003296,1.2479809522628784,3.4833030700683594,2.522814989089966,1.3706997632980347,3.938105583190918,1.347440242767334,3.8475639820098877,2.7181410789489746
